file,path,method,operationId,summary,tags
sales,/customer_alerts,GET,GetCustomerAlerts,Customer Alert,Customer Alerts
sales,/customer_alerts,POST,PostCustomerAlert,Customer Alert,Customer Alerts
sales,/customer_alerts/{Id},DELETE,DeleteCustomerAlert,Customer Alert,Customer Alerts
sales,/customer_alerts/{Id},GET,GetCustomerAlert,Customer Alert,Customer Alerts
sales,/customer_alerts/{Id},PUT,PutCustomerAlert,Customer Alert,Customer Alerts
sales,/customers/{customerId}/customer_alerts,GET,GetCustomerAlertsForCustomer,Customer Alerts For Customer,Customer Alerts
sales,/customer_cards,GET,GetCustomerCards,Customer Cards,Customer Cards
sales,/customer_cards/{Id},DELETE,DeleteCustomerCard,Customer Card,Customer Cards
sales,/customer_cards/{Id},GET,GetCustomerCard,Customer Card,Customer Cards
sales,/customer_cards/{Id},PUT,PutCustomerCard,Customer Card,Customer Cards
sales,/customers/{customerId}/customer_cards,GET,GetCustomerCardsForCustomer,Customer Cards For Customer,Customer Cards
sales,/customer_contact_roles,GET,GetCustomerContactRoles,Customer Contact Roles,Customer Contact Roles
sales,/customer_contact_roles/{Id},GET,GetCustomerContactRole,Customer Contact Role,Customer Contact Roles
sales,/customer_contacts/{CustomerContactId}/customer_contact_roles,GET,GetCustomerContactRolesForCustomerContact,Customer Contact Roles By Contact,Customer Contact Roles
sales,/customer_contacts,GET,GetCustomerContact,Customer Contacts,Customer Contacts
